"","text","emotion","polarity"
"58","bellletstalk about how we are not only in a global pandemic with covid but also a global mental health pandemic t…","neutral","positive"
"59","the awareness of mentalhealth as a public policy issue has been growing and we can consider it an important opportu…","neutral","positive"
"60","oh i’m sorry i’ll be quiet about the issues and all the research that shows our mental health system…","sadness","negative"
"61","…","neutral","positive"
"62","the awareness of mentalhealth as a public policy issue has been growing and we can consider it an important opportu…","neutral","positive"
"63","the awareness of mentalhealth as a public policy issue has been growing and we can consider it an important opportu…","neutral","positive"
"64","no it does notunless your in a very very very rare percentage where ur bo…","neutral","positive"
"65","its a big issuemental health problems should be taken more seriously by all we need to stop t…","neutral","negative"
"66","i’m a grown ass woman so i’ll deal with things the way that i feel is best for my mental health dealing with the…","neutral","neutral"
"67","tomorrow is bellletstalk day talking about mental health is so important but when you tweet for one day about this issue pl…","neutral","positive"
"68","mental health is a huge issue in rural and northern canada every share and view raises money to be put into canada…","neutral","positive"
"69","at some point we’re gonna have to start looking at this way of thinking as a public ment…","neutral","negative"
"70","dont give me that mental health issue bsyou tried to murder your girlfriend enough with white…","anger","negative"
"71","not sure how i feel about chidi anagonye being in the bad place because of his anxiety i know it’s just tv but anxiety is…","sadness","neutral"
"72","important contributions to the parliamentary group on drugs alcohol amp justice fromandlonelines…","neutral","positive"
"73","<U+0001F9F5>thread

out now race mental health state violence
 
this special issue guestedited byamp …","neutral","positive"
"74","covid is an immediate and deadlier issue than mental health that doesnt mean mental health isnt important","neutral","negative"
"75","wow this is trash amp so poorly written it makes no sense mad insensitive to domestic abuse victims too

 domesti…","anger","negative"
"76","listen if you have a mental health issue i have compassion for you but being mentally ill does not excuse violent conduc…","neutral","negative"
"77","tomorrow is bellletstalk day talking about mental health is so important but when you tweet for one day about this issue pl…","neutral","positive"
"78","this ongoing issue since december is majorly affecting my mental health now and i literally just want to cry myself…","neutral","neutral"
"79","returning to work after a mental health issue iosh report explores employers’ role","neutral","positive"
"80","not sure how i feel about chidi anagonye being in the bad place because of his anxiety i know it’s just tv but anxiety is…","sadness","neutral"
"81","for my own mental health im gonna be winding this account down into an arch only account amp will probably stop publ…","neutral","negative"
"82","aries taurus gemini amp cancera family member friend or someone you live with needs practical advice on an issue th…","joy","positive"
"83","<U+0001F9F5>thread

out now race mental health state violence
 
this special issue guestedited byamp …","neutral","positive"
"84","i’m literally mentally ill and work in disability justice mental health advocacy and have multiple f…","neutral","positive"
"85","oh i’m sorry i’ll be quiet about the issues and all the research that shows our mental health system…","sadness","negative"
"86","yes schools and workplaces must not allow this behavior to continue we cannot expect any person to have g…","joy","positive"
"87","the awareness of mentalhealth as a public policy issue has been growing and we can consider it an important opportu…","neutral","positive"
"88","mental health now being a serious and growing issue in this climate is something that society and our system overlooks prope…","neutral","negative"
"89","to keep at it is a mental health issue for our nation","neutral","negative"
"90","aries taurus gemini amp cancera family member friend or someone you live with needs practical advice on an issue th…","joy","positive"
"91","any male that wants to or even agrees to other men accessing female only spaces are per…","neutral","positive"
"92","trumps mental health was clearly the salient issue from before the beginning of his term it wasnt subtl…","neutral","positive"
"93","trumps mental health was clearly the salient issue from before the beginning of his term it wasnt subtl…","neutral","positive"
"94","oh i’m sorry i’ll be quiet about the issues and all the research that shows our mental health system…","sadness","negative"
"95","not sure how i feel about chidi anagonye being in the bad place because of his anxiety i know it’s just tv but anxiety is…","sadness","neutral"
"96","study mental health is a bigger issue than covid itself for pr","neutral","positive"
"97","besides this big issue with the stalker can affect nayeon mental health

please do something to stop this situation…","joy","positive"
"98","mental health now being a serious and growing issue in this climate is something that society and our system overlo…","neutral","negative"
"99","<U+0001F9F5>thread

out now race mental health state violence
 
this special issue guestedited byamp …","neutral","positive"
"100","the effect on emotional wellbeing and mental health has been damaging and has not been give…","neutral","negative"
"101","when we start taking physical and mental health tips from ronnie os…","neutral","positive"
"102","not sure how i feel about chidi anagonye being in the bad place because of his anxiety i know it’s just tv but anxiety is…","sadness","neutral"
"103","oblivious normies may see this tweet heres the issue in case youre quick to rush to judgment we absolutely believe…","joy","negative"
"104","the awareness of mentalhealth as a public policy issue has been growing and we can consider it an important opportu…","neutral","positive"
"105","not sure how i feel about chidi anagonye being in the bad place because of his anxiety i know it’s just tv but anxiety is…","sadness","neutral"
"106","all in all im still here several attempts later im still fucking here by some miracle mental health is a serious…","neutral","positive"
"107","this is another issue that needs to be addressed in nsw even if you have a severe mental health con…","neutral","neutral"
"108","all in all im still here several attempts later im still fucking here by some miracle mental health is a seri…","neutral","positive"
"109","this is another issue that needs to be addressed in nsw even if you have a severe mental heal…","neutral","neutral"
"110","study mental health is a bigger issue than covid itself for pr","neutral","positive"
"111","a chance conversation with a health professional led big issue vendor kenny to the gym for the first time in years…","neutral","positive"
"112","mental health is a serious issue reach out to your loved ones and make sure they good","joy","neutral"
"113","tomorrow is bellletstalk day talking about mental health is so important but when you tweet for one day about this issue pl…","neutral","positive"
"114","i pray for all of my friends’ stress mental health issueamp wtv problems would come at ease in any sooner <U+0001F498> <U+0001F614>","neutral","negative"
"115","aries taurus gemini amp cancera family member friend or someone you live with needs practical advice on an issue th…","joy","positive"
"116","yes schools and workplaces must not allow this behavior to continue we cannot expect any person to hav…","joy","positive"
"117","mental health is such an important issue that must be addressed your mental health matters","neutral","positive"
"118","of women who commit crime have experienced domestic abuse and around half of women in prison have a mental health issue…","neutral","negative"
"119","not sure how i feel about chidi anagonye being in the bad place because of his anxiety i know it’s just tv but anxiety is…","sadness","neutral"
"120","not sure how i feel about chidi anagonye being in the bad place because of his anxiety i know it’s just tv but anxiety is…","sadness","neutral"
"121","not sure how i feel about chidi anagonye being in the bad place because of his anxiety i know it’s just tv but anxiety is…","sadness","neutral"
"122","i pray for all of my friends’ stress mental health issueamp wtv problems would come at ease in any sooner <U+0001F498> <U+0001F614>","neutral","negative"
"123","i pray for all of my friends’ stress mental health issueamp wtv problems would come at ease in any sooner <U+0001F498> <U+0001F614>","neutral","negative"
"124","tomorrow is bellletstalk day talking about mental health is so important but when you tweet for one day about this issue pl…","neutral","positive"
"125","oh i’m sorry i’ll be quiet about the issues and all the research that shows our mental health system…","sadness","negative"
"126","not sure how i feel about chidi anagonye being in the bad place because of his anxiety i know it’s just tv but anxiety is…","sadness","neutral"
"127","members of toyin and the gang on the show talking depression mental health is a big issue and we have to keep talking j…","sadness","negative"
"128","not sure how i feel about chidi anagonye being in the bad place because of his anxiety i know it’s just tv but anxiety is…","sadness","neutral"
"129","oh i’m sorry i’ll be quiet about the issues and all the research that shows our mental health system…","sadness","negative"
"130","oblivious normies may see this tweet heres the issue in case youre quick to rush to judgment we absolutely believe…","joy","negative"
"131","not sure how i feel about chidi anagonye being in the bad place because of his anxiety i know it’s just tv but anxiety is…","sadness","neutral"
"132","regardless of what questions you ask at a dinner party the issue of first responder mental health is very real

a rec…","neutral","negative"
"133","aries taurus gemini amp cancera family member friend or someone you live with needs practical advice on an issue th…","joy","positive"
"134","regardless of what questions you ask at a dinner party the issue of first responder mental health is very real

a rec…","neutral","negative"
"135","not sure how i feel about chidi anagonye being in the bad place because of his anxiety i know it’s just tv but anxiety is…","sadness","neutral"
"136","tomorrow is bellletstalk day talking about mental health is so important but when you tweet for one day about this issue pl…","neutral","positive"
"137","not sure how i feel about chidi anagonye being in the bad place because of his anxiety i know it’s just tv but anxiety is…","sadness","neutral"
"138","the ppl i know who have needed a lawyer to do it it’s standard to be declined on initial applicat…","neutral","positive"
"139","i just saw an adult woman throw a nasty temper tantrum about wearing a mask that’s very strange behavior for an ad…","anger","negative"
"140","not sure how i feel about chidi anagonye being in the bad place because of his anxiety i know it’s just tv but anxiety is…","sadness","neutral"
"141","can i assume my brother that doesnt brush his teeth at night as having mental health issue i mean…","joy","positive"
"142","manic episode <U+0001F602> another crime another mental health issue","neutral","negative"
"143","aries taurus gemini amp cancera family member friend or someone you live with needs practical advice on an issue th…","joy","positive"
"144","mental health is a huge issue now more than ever bellletstalk if you ever need someone to talk to non judgementa…","surprise","neutral"
"145","women apparently need to just run everything becausewell dudes

bennets behavior is awful amp likely due to depre…","fear","negative"
"146","talking about mental health needs to become normal like talking about any other health issue","joy","positive"
"147","…","neutral","positive"
"148","the effect on emotional wellbeing and mental health has been damaging and has not bee…","neutral","negative"
"149","i’ve come to realize that my high inconsistency and lack of motivation is all a mental health issue of mine that ne…","anger","negative"
"150","tomorrow is bellletstalk day talking about mental health is so important but when you tweet for one day about this issue pl…","neutral","positive"
"151","oh soooo close yet againbeing evil in fact is a mental health issue that we should be sympathetic for truly vic…","joy","negative"
"152","i dont agree with your logic i think its disgusting that corporation that f…","disgust","positive"
"153","listen if you have a mental health issue i have compassion for you but being mentally ill does not excuse violent conduc…","neutral","negative"
"154","they do donate money but its a drop in the bucket and doesnt come anywhere close to…","joy","negative"
"155","you that same chick probably still rooting for ap and tyreek hill lol this is a domestic violence and m…","neutral","positive"
"156","there may be a mental health issue however there were additional episode…","neutral","positive"
"157","oblivious normies may see this tweet heres the issue in case youre quick to rush to judgment we absolutely bel…","joy","negative"
"158","tomorrow is bellletstalk day talking about mental health is so important but when you tweet for one day about this issue pl…","neutral","positive"
"159","mental health is a serious issue please talk to your doctor if you need someone to talk to about your mental health issue…","joy","negative"
"160","regardless of what questions you ask at a dinner party the issue of first responder mental health is very real

a rec…","neutral","negative"
"161","aries taurus gemini amp cancera family member friend or someone you live with needs practical advice on an issue th…","joy","positive"
"162","your content dekat tiktok is about islam right so go read the room about mental health you can help your friends w…","joy","positive"
"163","why would you want to abuse yourself like that thats a mental health issue just waiting to happen","joy","positive"
"164","not sure how i feel about chidi anagonye being in the bad place because of his anxiety i know it’s just tv but anxiety is…","sadness","neutral"
"165","she even said it’s because he stopped taking his bi polar medicine so it was…","neutral","negative"
"166","absolutely the other prong to solving this issue is addressing mental health issues in adu…","neutral","positive"
"167","regardless of what questions you ask at a dinner party the issue of first responder mental health is very real

a rec…","neutral","negative"
"168","not sure how i feel about chidi anagonye being in the bad place because of his anxiety i know it’s just tv but anxiety is…","sadness","neutral"
"169","regardless of what questions you ask at a dinner party the issue of first responder mental health is very real

a…","neutral","negative"
"170","it actually severely improved mental health turns out people having a common issue to bond ove…","neutral","negative"
"171","not sure how i feel about chidi anagonye being in the bad place because of his anxiety i know it’s just tv but anxiety is…","sadness","neutral"
"172","bellletstalkmental health is a serious issue that affects everyone it might not be much but if you ever need help my dms are open <U+2665><U+FE0F>","neutral","neutral"
"173","<U+0001F9F5>thread

out now race mental health state violence
 
this special issue guestedited byamp …","neutral","positive"
"174","yes my daughter was severely depressedsuicidal amp we were told at our former church that it was a sin…","neutral","neutral"
"175","let’s not say it’s only white men with mental health issues any man can have a mental health issue","neutral","positive"
"176","bellletstalkday everyactioncounts lets see these issues without the persuading back to big pharma lets not ass…","neutral","positive"
"177","trumps mental health was clearly the salient issue from before the beginning of his term it wasnt subtl…","neutral","positive"
"178","dr jamaldine your are raising a fundamental issue touching on how we look at mental health and the needs for organization…","neutral","negative"
"179","dr jamaldine your are raising a fundamental issue touching on how we look at mental health and the needs for organ…","neutral","negative"
"180","we can return to normal and not have the issue of mental health problems due to lockdowns instead…","neutral","neutral"
"181","fuck them haters noah

i always love ur schemes that u design and after that situation happen u showed people that…","joy","positive"
"182","not sure how i feel about chidi anagonye being in the bad place because of his anxiety i know it’s just tv but anxiety is…","sadness","neutral"
"183","not sure how i feel about chidi anagonye being in the bad place because of his anxiety i know it’s just tv but anx…","sadness","neutral"
"184","oh i’m sorry i’ll be quiet about the issues and all the research that shows our mental health system…","sadness","negative"
"185","tomorrow is bellletstalk day talking about mental health is so important but when you tweet for one day about this issue pl…","neutral","positive"
"186","twgun violence hostage situation murder

i work in onc research not w patients directly yet to be fair so i g…","anger","neutral"
"187","read the seahawks statement implying chad wheeler has mental health issues and they wont try to resign him after he tried to mur…","neutral","negative"
"188","where did i say that mental health care was bad and it’s been only a few people who see that this…","joy","negative"
"189","the thing abt mental illness is i want people to treat it as any other health issue it affects daily lives and ro…","neutral","neutral"
"190","they are not insane they know the difference between right and wrong and have chose…","neutral","negative"
"191","i hope youre okay and this is an awful assignment dont do it youre mental health is more importa…","fear","neutral"
"192","mental health is a serious issue please talk to your doctor if you need someone to talk to about your mental health issue…","joy","negative"
"193","mental health is a serious issue please talk to your doctor if you need someone to talk to about your mental health issue…","joy","negative"
"194","real question what are we going to do about the mental health decline this is a huge issue presiden…","neutral","negative"
"195","related to odl not mental health lecturer didnt care about mismanagement of team member issue an…","joy","positive"
"196","wellness advocateshares his experiences with mental health it’s time to talk an online event on janfor…","neutral","positive"
"197","trumps mental health was clearly the salient issue from before the beginning of his term it wasnt subtl…","neutral","positive"
"198","the issue is that transition is considered mental health care for extreme dysphoria","joy","neutral"
"199","aries taurus gemini amp cancera family member friend or someone you live with needs practical advice on an issue th…","joy","positive"
"200","tomorrow is bellletstalk day talking about mental health is so important but when you tweet for one day about this issue pl…","neutral","positive"
"201","tomorrow is bellletstalk day talking about mental health is so important but when you tweet for one day about this issue pl…","neutral","positive"
"202","helpful to avoid assumptions my father is wonderful incredibly loving with me and mysisters 

my…","joy","positive"
"203","lets see these issues without the persuading back to big pharma lets not assume to call these iss…","neutral","negative"
"204","amp oh no take care of yourself its hard to think positive during covid mental health is a serious issue","joy","neutral"
"205","its about mental health domestic violence and the fact that professional sports player…","neutral","positive"
"206","do you have a diagnosed mental health issue","neutral","positive"
"207","bernadette tinoy of the tribe of issachar claims that mental health is an important issue this pandemic but she ove…","neutral","positive"
"208","<U+2764><U+FE0F>drew barrymore health magazine jan febwomens transform change issue interview advice body care products trends e…","joy","positive"
"209","has anyone else had the issue of “rage quitting” when seeking professional help for your mental health every time…","neutral","positive"
"210","<U+2764><U+FE0F> rita wilson interview anxiety mental health magazine issue junebeauty beauty advice body care products genetic te…","joy","positive"
"211","just remember some of them are very dangerous if that preacher really believes that he has a mental h…","neutral","neutral"
"212","aries taurus gemini amp cancera family member friend or someone you live with needs practical advice on an issue th…","joy","positive"
"213","was born here have lived here my whole life and i’d say something i’d like to see a change in woul…","joy","positive"
"214","they just gonna say he was having mental health issue hell get fired cause hes a backup there season is ov…","sadness","negative"
"215","and this story seems to be blowing up in mainstream media as well

sad…","neutral","positive"
"216","this condescending ass ‘take’ is so fucking ugly and dismissive of the victim here a black woman and then to try to…","fear","negative"
"217","how this kind of mental health issue","joy","positive"
"218","he needs to be tried for battery at the least he beat her with the intent of causing bodily harm men…","surprise","negative"
"219","beating on a woman isn’t a mental health issue that’s you taking advantage of someone much smaller than you <U+0001F937><U+0001F3FE><U+200D><U+2642><U+FE0F> b…","neutral","positive"
"220","amp an issue w abruptly returning to inperson learning we’ve been though a major collective trauma—how will…","neutral","positive"
"221","mental health is a serious issue please talk to your doctor if you need someone to talk to about your mental health issue…","joy","negative"
"222","on this bellletstalk day i would like to point out i was denied mortgage life insurance by bmo or their underwriter becau…","joy","positive"
"223","when mental health experts warned us that the normalization of sociopathic behavior would lead to catastrophic social iss…","neutral","negative"
"224","on this bellletstalk day i would like to point out i was denied mortgage life insurance by bmo or their underwrite…","joy","positive"
"225","it’s not cancel culture it’s the fact that instead of apologizing and taking acco…","neutral","positive"
"226","listen if you have a mental health issue i have compassion for you but being mentally ill does not excuse violent conduc…","neutral","negative"
"227","when mental health experts warned us that the normalization of sociopathic behavior would lead to catastrophic social iss…","neutral","negative"
"228","dont just be tough that doesnt work know that mental health get to the bo…","sadness","neutral"
"229","then clarify it wasnt our issue that you didnt specify what av…","neutral","positive"
"230","mental health may need to be treated for weeks but it shouldn’t be…","neutral","negative"
"231","oh i’m sorry i’ll be quiet about the issues and all the research that shows our mental health system…","sadness","negative"
"232","oh i’m sorry i’ll be quiet about the issues and all the research that shows our mental health system…","sadness","negative"
"233","anybody still think we dont have a severe mental health issue in our country 
great scott","joy","positive"
"234","mental health is a serious issue that needs to be addressed in the united states starting with this batshit i…","neutral","negative"
"235","mental health is not the issue here plenty of people who struggle with mental health don’t commit…","neutral","neutral"
"236","study mental health is a bigger issue than covid itself for pr 
bellletstalk","neutral","positive"
"237","did you seriously did you just pr is a difficult area and in paticular its very d…","neutral","negative"
"238","a growing waiting list for prisoners with a severe psychiatric illness in accessing the central mental hospital rep…","neutral","negative"
"239","it’s not cancel culture it’s the fact that instead of apologizing and ta…","neutral","positive"
"240","on the military stan both are classified mental sickness big mental health issuetrans and o…","neutral","negative"
"241","aries taurus gemini amp cancera family member friend or someone you live with needs practical advice on an issue th…","joy","positive"
"242","after being challenged by young people in peterborough at a mental health summit i raised the issue of mental health c…","neutral","positive"
"243","mental health is a real issue during lockdown as we all know however do we know just how bad it is","sadness","positive"
"244","this ain’t it i acknowledge that mental health is very real but it ishis fault…","neutral","positive"
"245","how working out works wonders for your mental healththe big issue bellletstalk","neutral","positive"
"246","the team issued a statement that does some heavy lifting trying to recast it as a mental health issue i…","neutral","negative"
"247","mental health is a serious issue please talk to your doctor if you need someone to talk to about your mental health issue…","joy","negative"
"248","mental health is a world issue talk to someone","neutral","positive"
"249","chris just think about this every oneof those trumplicans has a serious personality…","neutral","neutral"
"250","mental health is a social justice issue i found this piece on the old people app aka facebook and it really hit home
m…","neutral","positive"
"251","lone wolf mental health issue bulliedanother white supremacis…","neutral","negative"
"252","im not trying to be a hating <U+0001F351> betch and i know mental health and loneliness is a big issue particularly around…","sadness","negative"
"253","our report on sex differences mental health disorders amp pfp in military service members will be out in the veterans health sp…","neutral","positive"
"254","im in mental health is a big issue in today’s world bellletstalk","neutral","positive"
"255","i do see the issue it’s about a human who has mental issues that wasn’t taking his medication the foc…","neutral","positive"
"256","did you just lump together every existing mental health issue","joy","positive"
"257","why is it always a mental health issue when it’s white men if i wanted to be a piece of shit individual i’d bring…","neutral","positive"
"258","im bipolar and on my meds even when i was off my meds i never assaulted any…","neutral","positive"
"259","one young guy at checkin was here for a mental health issue after serving whis national guard unit at the capitol…","neutral","neutral"
"260","i agree climate change worrying is the most significant public mental health issue of our time right next…","neutral","positive"
"261","oh i’m sorry i’ll be quiet about the issues and all the research that shows our mental health system…","sadness","negative"
"262","absolutely disgusting how the media has faded regarding this issue no breaking news no outrage…","disgust","negative"
"263","he’s got heavy charges pending however he seems to have serious mental health issues and was off his m…","neutral","negative"
"264","your inexcusable actions guised as “mania” is a slap in the face of everyone who has mental health issues you beat her because…","surprise","negative"
"265","tomorrow is bellletstalk day talking about mental health is so important but when you tweet for one day about this issue pl…","neutral","positive"
"266","tomorrow is bellletstalk day talking about mental health is so important but when you tweet for one day about this issue pl…","neutral","positive"
"267","absolutely disgusting how the media has faded regarding this issue no breaking news no…","disgust","negative"
"268","tomorrow is bellletstalk day talking about mental health is so important but when you tweet for one day about this issue pl…","neutral","positive"
"269","aries taurus gemini amp cancera family member friend or someone you live with needs practical advice on an issue th…","joy","positive"
"270","mental health in america is definitely an issue the stigma amp the dilemma of treatment clash daily i’m guessing b…","neutral","negative"
"271","they don’t care they want to abolish everything so it’s one…","joy","neutral"
"272","how effective could a public policy approached on mental health stigma as a social justice issue socialworktwitter","neutral","neutral"
"273","here’s the deal he’s not convicted but there’s a lot of evidence so i have an idea instead of cutting him beca…","neutral","positive"
"274","live converge media presentsa special one on one conversation between converge mediasand as…","joy","positive"
"275","oh i’m sorry i’ll be quiet about the issues and all the research that shows our mental health system…","sadness","negative"
"276","listen if you have a mental health issue i have compassion for you but being mentally ill does not excuse violent conduc…","neutral","negative"
"277","your mental health issue is not an excuse to mistreat others","neutral","negative"
"278","your inexcusable actions guised as “mania” is a slap in the face of everyone who has mental health issues you beat her because…","surprise","negative"
"279","aries taurus gemini amp cancera family member friend or someone you live with needs practical advice on an issue th…","joy","positive"
"280","also he knew he had a mental health issue that made him dangerous therefore he should be held respon…","neutral","negative"
"281","anyone that is sane and has no record in their background has no problem w…","neutral","neutral"
"282","couldnt agree more kate 

mental health is a very personal issue that can affect any person of any age in an…","joy","positive"
"283","this just goes to show how men’s suicide awareness and mental health is overlooked but is still a very real and relevant i…","neutral","neutral"
"284","i understand the mental health issue this was known tho so all i’…","neutral","positive"
"285","“an online intervention to support studentathlete mental health implementation evaluation and critical reflection” is f…","neutral","neutral"
"286","biden has withheld his mental health issue isnt it","neutral","negative"
"287","i’m finding it harder than ever sometimes it an issue to even get out of bed and just today i ques…","anger","positive"
"288","i know suicide is a mental health issue and feel for his familybut i can’t get pass maybe he…","sadness","negative"
"289","malcolms my hero and is to many others he has a mental health issue but still perseveres…","joy","positive"
"290","i know suicide is a mental health issue and feel for his familybut i can’t get pas…","sadness","negative"
"291","mental health is not the issue here plenty of people who struggle with mental health don’t commit crimes","neutral","neutral"
"292","kids need to be in school before mental health issue’s of our children explode","neutral","negative"
"293","no it all started with a mental health issue","neutral","positive"
"294","tomorrow is bellletstalk day talking about mental health is so important but when you tweet for one day about this issue pl…","neutral","positive"
"295","he does <U+0001F97A> even if it’s a mental health issue of mine <U+0001F62D>","neutral","positive"
"296","the iranian community has a massive issue of not talking about mental health and then hiding suicides

seriously s…","neutral","negative"
"297","of employees cite mental health issues as the biggest issue during the pandemic organizations need to develop prog…","neutral","negative"
"298","mental health is a serious issue reach out to your loved ones and make sure they good","joy","neutral"
"299","and then we wonder why mental health is an issuewho are these doctors savingof mortalities ar…","surprise","positive"
"300","very cool could you please please ask him about his support for funding couple therapy our…","joy","neutral"
"301","howdo people get like this there has to be a mental health issue here right","joy","neutral"
"302","that what i always doif you’re annoying always make drama i’ll unfollow amp mutemy timeline is so clear someti…","anger","negative"
"303","domestic violence is not mental health issue l","neutral","positive"
"304","covid and your mental health
my biggest issue is procrastination along with what day…","neutral","negative"
"305","aries taurus gemini amp cancera family member friend or someone you live with needs practical advice on an issue th…","joy","positive"
"306","i’m literally mentally ill and work in disability justice mental health advocacy and have multip…","neutral","positive"
"307","read the seahawks statement implying chad wheeler has mental health issues and they wont try to resign him after he tried to mur…","neutral","negative"
"308","jayzus i dont get it they would rather put their body through this kind of toxic craziness rather than…","joy","negative"
"309","yea what happened i thought big issue was mental health per all jara interviews on cable <U+0001F481><U+0001F3FD><U+200D><U+2640><U+FE0F>","surprise","positive"
"310","wtf yeah sorry domestic violence is not a mental health issue <U+0001F621><U+0001F92C>","sadness","negative"
"311","mental health issue my ass this dude is a fuckin weak man that deserves to be in prison the seahawk…","joy","negative"
"312","an important issue which came up during covidwomen betweenhad the worst mental health during covid partly…","neutral","negative"
"313","he’s white therefore it’ll be a mental health issue the first thing they said in the report is that…","neutral","positive"
"314","your inexcusable actions guised as “mania” is a slap in the face of everyone who has mental health issues you beat her because…","surprise","negative"
"315","oh i’m sorry i’ll be quiet about the issues and all the research that shows our mental health sys…","sadness","negative"
"316","this is really interesting because i understand drug use as a response to a mentalphysical health issuetraum…","neutral","positive"
"317","i just did good lord this man needs to be in jail my ass would be locked up why ain’t…","joy","positive"
"318","hockeytalks lets see these issues without the persuading back to big pharma lets not a…","neutral","positive"
